Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene % GC content	MGI symbol
ENSMUSG00000064371	MT	15289	15355	1	34.33	mt-Tt
ENSMUSG00000064372	MT	15356	15422	-1	44.78	mt-Tp
ENSMUSG00000111353	9	8142541	8185129	1	39.57	Gm19324
ENSMUSG00000025043	X	18145857	18146701	1	45.09	Dusp21
ENSMUSG00000112158	12	11701306	11701678	-1	37.80	Gm47822
ENSMUSG00000098164	17	22739944	22751509	1	36.22	Gm5493
ENSMUSG00000081467	2	22067826	22069419	1	56.59	Gm13337
ENSMUSG00000106554	5	107048836	107056042	1	47.16	Gm33474
ENSMUSG00000094568	8	41657593	41658669	-1	50.70	Smarce1-ps1
ENSMUSG00000063582	7	104891822	104895952	-1	36.82	Olfr666
ENSMUSG00000054667	X	141710998	141725263	-1	42.43	Irs4
ENSMUSG00000040725	7	25721165	25754757	-1	46.38	Hnrnpul1
ENSMUSG00000114048	12	26346717	26371748	1	45.02	4930549C15Rik
ENSMUSG00000006307	7	30568858	30588726	-1	54.60	Kmt2b
ENSMUSG00000030737	7	99657804	99711340	-1	49.99	Slco2b1
ENSMUSG00000086279	8	46152610	46156100	1	42.85	Gm15634
ENSMUSG00000100343	Y	52456738	52470686	-1	36.11	Gm20923
ENSMUSG00000111845	9	8153761	8154186	-1	41.78	Gm7495
ENSMUSG00000020642	12	26300964	26415254	-1	46.19	Rnf144a
ENSMUSG00000099727	Y	27894779	27895393	1	45.04	Gm29401
ENSMUSG00000112413	12	11760447	11760871	-1	57.18	Gm6867
ENSMUSG00000038291	8	46033261	46152159	-1	42.75	Snx25
ENSMUSG00000103465	3	71894835	71894993	1	45.28	Gm37617
ENSMUSG00000031998	9	8221889	8241987	1	41.40	1700128F08Rik
ENSMUSG00000086426	X	141724838	141726163	1	59.88	Gm15295
ENSMUSG00000102046	8	41827267	42046202	1	37.98	2810404M03Rik
ENSMUSG00000099791	Y	27924318	27925013	1	45.83	Gm20891
ENSMUSG00000103279	3	72050098	72050602	-1	45.94	Gm3351
ENSMUSG00000106322	5	88545036	88545156	-1	47.11	Gm43432
ENSMUSG00000108069	8	41923520	41927130	1	41.73	Hspd1-ps1
ENSMUSG00000083741	X	141777180	141777662	1	42.03	Gm15297
ENSMUSG00000101473	Y	27998840	27999532	1	45.31	Gm20893
ENSMUSG00000086056	1	166483613	166497588	-1	40.96	Gm4846
ENSMUSG00000070697	5	88554462	88556090	1	50.28	Utp3
ENSMUSG00000022221	14	55784995	55788865	-1	52.85	Ripk3
ENSMUSG00000026354	1	128284756	128328318	-1	48.32	Lct
ENSMUSG00000109264	7	18435656	18436653	-1	43.89	Gm44871
ENSMUSG00000109734	7	104908754	104913339	1	43.76	Gm45272
ENSMUSG00000032338	9	58823412	58863175	1	52.72	Hcn4
ENSMUSG00000029656	4	104766317	104804548	1	44.80	C8b
ENSMUSG00000108906	7	18454742	18456688	-1	42.78	Gm8314
ENSMUSG00000110330	7	104911013	104911377	1	53.70	Gm45275
ENSMUSG00000103859	3	72180737	72180955	1	42.47	Gm37603
ENSMUSG00000040034	10	7667503	7678881	1	41.75	Nup43
ENSMUSG00000103078	3	72603835	72604348	-1	45.33	Gm37901
ENSMUSG00000016319	X	36795651	36798807	1	50.30	Slc25a5
ENSMUSG00000085466	X	141870135	141870401	-1	50.19	Hmgn2l6
ENSMUSG00000086159	4	140679753	140684617	1	49.60	Gm13025
ENSMUSG00000101753	Y	28105189	28108426	-1	40.21	Gm28799
ENSMUSG00000101484	Y	28143148	28146485	1	45.33	Gm28798
ENSMUSG00000021806	14	19751265	19811787	1	47.16	Nid2
ENSMUSG00000081607	X	141873409	141875235	-1	52.65	Gm15294
ENSMUSG00000051081	1	166628971	166647693	-1	38.38	Gm4847
ENSMUSG00000100587	Y	28147893	28148207	1	40.32	Gm28797
ENSMUSG00000084228	1	107020137	107025325	-1	36.37	Gm8080
ENSMUSG00000099828	Y	28184470	28185165	1	43.82	Gm28796
ENSMUSG00000048292	19	11826803	11839219	-1	42.43	Olfr1417
ENSMUSG00000086907	X	141900582	141902455	-1	49.04	Gm15298
ENSMUSG00000103939	12	114253617	114254051	-1	45.06	Ighv3-4
ENSMUSG00000101158	Y	28245352	28271512	-1	35.61	Gm20894
ENSMUSG00000080775	X	141980175	141982321	1	46.72	Gm6368
ENSMUSG00000026523	1	175698593	175815734	1	41.05	Wdr64
ENSMUSG00000097402	9	118150231	118170376	1	43.37	Gm17399
ENSMUSG00000019795	10	7629373	7681136	-1	42.79	Pcmt1
ENSMUSG00000044594	1	107045587	107052303	-1	36.12	Serpinb3a
ENSMUSG00000078601	3	108361551	108362256	1	50.57	Gm12525
ENSMUSG00000094841	7	83536192	83550258	-1	42.59	Gm10610
ENSMUSG00000081576	13	21903156	21904784	1	41.25	Gm11279
ENSMUSG00000085694	19	6543771	6544899	-1	50.84	Gm14967
ENSMUSG00000085937	11	68583264	68586957	-1	46.81	Ccdc42os
ENSMUSG00000076670	12	114262652	114263087	-1	45.87	Ighv3-5
ENSMUSG00000061742	19	6535845	6543019	-1	55.75	Slc22a12
ENSMUSG00000044681	5	28200819	28245806	-1	44.29	Cnpy1
ENSMUSG00000026355	1	128331590	128359664	-1	42.72	Mcm6
ENSMUSG00000100249	X	3076875	3078817	1	38.81	Btbd35f23
ENSMUSG00000074093	7	51997171	52006018	-1	41.22	Svip
ENSMUSG00000031631	8	46151771	46195590	1	41.94	Cfap97
ENSMUSG00000063380	9	39256869	39276818	-1	36.13	Olfr945
ENSMUSG00000050192	3	28781276	28798846	1	41.30	Eif5a2
ENSMUSG00000096426	X	3193887	3195827	-1	39.00	Btbd35f24
ENSMUSG00000110426	8	95045981	95047460	1	46.35	Gm45757
ENSMUSG00000095487	7	33527376	33528558	1	48.35	Scgb1b21
ENSMUSG00000084298	X	3225600	3230364	1	44.18	Gm14331
ENSMUSG00000028708	4	115839198	115879250	1	47.32	Mknk1
ENSMUSG00000071856	18	44425060	44812182	-1	43.08	Mcc
ENSMUSG00000024786	19	6184388	6224225	1	44.61	Majin
ENSMUSG00000106076	5	63990388	63990871	-1	54.13	Gm43840
ENSMUSG00000103569	1	131914529	131916439	1	40.71	Gm38067
ENSMUSG00000095907	X	3231695	3231958	-1	42.05	Gm14333
ENSMUSG00000026434	1	131910534	131936321	1	40.65	Nucks1
ENSMUSG00000106219	5	64044978	64050228	1	46.49	5830416I19Rik
ENSMUSG00000110943	10	3104119	3104849	1	42.00	Gm30674
ENSMUSG00000110814	9	121523575	121530805	1	47.17	Gm38661
ENSMUSG00000111106	10	3117805	3118987	-1	52.49	Gm3318
ENSMUSG00000075268	19	16267061	16267621	-1	60.78	Gm10819
ENSMUSG00000031365	X	73342621	73359080	1	43.51	Zfp275
ENSMUSG00000102479	12	114265607	114266248	-1	45.17	Gm18551
ENSMUSG00000111598	9	121515665	121536151	-1	46.58	Gm47095
ENSMUSG00000052188	19	6530711	6532011	-1	59.19	Gm14964
ENSMUSG00000083568	7	33567253	33567714	-1	45.89	Gm12770
ENSMUSG00000113052	12	84195969	84199580	1	51.22	Gm31513
ENSMUSG00000024639	19	16132831	16387463	1	41.80	Gnaq
ENSMUSG00000080876	X	3276856	3278543	-1	51.36	Gm14332
ENSMUSG00000111439	9	37264093	37264659	-1	36.86	Gm47633
ENSMUSG00000113776	12	84184536	84187806	-1	50.84	Gm19327
ENSMUSG00000102497	12	114267613	114267906	-1	46.26	Ighv13-1
ENSMUSG00000005103	5	38526813	38563221	-1	49.74	Wdr1
ENSMUSG00000113094	12	84214365	84216137	-1	52.00	Gm47447
ENSMUSG00000083144	X	3328043	3328735	1	46.18	Gm14334
ENSMUSG00000070799	7	18474582	18484177	-1	47.05	Psg26
ENSMUSG00000046532	X	98148769	98323215	1	37.12	Ar
ENSMUSG00000000889	2	27165233	27183200	1	51.66	Dbh
ENSMUSG00000042507	12	84149176	84218881	-1	50.67	Elmsan1
ENSMUSG00000111681	9	37269287	37272168	1	41.64	Gm47640
ENSMUSG00000079521	X	78125467	78130403	1	32.37	Gm5938
ENSMUSG00000110909	10	3125091	3133193	-1	42.02	B020014A21Rik
ENSMUSG00000105228	5	124300484	124301827	-1	49.78	Gm43340
ENSMUSG00000071434	10	3119841	3129546	1	45.33	9230019H11Rik
ENSMUSG00000033768	19	6418731	6544169	1	53.68	Nrxn2
ENSMUSG00000097076	10	84547417	84553338	-1	44.44	Platr7
ENSMUSG00000112823	12	44619191	44622662	-1	50.40	Gm6125
ENSMUSG00000076672	12	114288152	114288582	-1	44.32	Ighv3-6
ENSMUSG00000038126	5	124250959	124327972	-1	45.10	Mphosph9
ENSMUSG00000103975	1	131932464	131932970	-1	35.31	Gm37676
ENSMUSG00000060556	19	11852587	11861066	-1	41.29	Olfr1418
ENSMUSG00000086785	13	28510744	28511232	-1	46.22	Gm6081
ENSMUSG00000083918	X	3404837	3405285	-1	48.33	Gm14352
ENSMUSG00000109559	7	99694297	99712777	1	50.75	Gm34280
ENSMUSG00000002076	17	31944769	32034508	-1	44.55	Hsf2bp
ENSMUSG00000109902	8	46162090	46163246	1	43.30	Gm45693
ENSMUSG00000015335	2	30090944	30093648	-1	57.34	Zdhhc12
ENSMUSG00000114955	14	3000669	3001058	-1	46.41	Gm48109
ENSMUSG00000084990	X	36814771	36817200	1	45.88	Gm14549
ENSMUSG00000115162	15	36299624	36300475	1	49.77	Gm9501
ENSMUSG00000074179	9	78289923	78305525	1	45.88	Gm10639
ENSMUSG00000085936	13	28460034	28885620	-1	42.42	2610307P16Rik
ENSMUSG00000109980	8	81061334	81069803	1	41.18	Gm45538
ENSMUSG00000111242	10	3139447	3141058	-1	42.00	Gm8155
ENSMUSG00000057990	19	16164312	16164805	-1	50.20	E030024N20Rik
ENSMUSG00000021807	14	19811351	19823824	-1	41.58	Rtraf
ENSMUSG00000095466	14	42763525	42768821	-1	44.04	Gm3015
ENSMUSG00000099494	Y	52497006	52500244	1	40.29	Gm28197
ENSMUSG00000109504	7	18493939	18494916	-1	46.32	Gm45156
ENSMUSG00000068579	15	36308149	36308944	-1	54.90	Rpl7a-ps3
ENSMUSG00000081155	7	33568156	33568290	1	43.70	Gm12771
ENSMUSG00000101689	Y	62086944	62087637	-1	44.96	Gm28599
ENSMUSG00000111625	10	3176020	3176188	1	42.60	Gm48097
ENSMUSG00000094615	8	81197630	81198348	-1	44.92	Gm4899
ENSMUSG00000018585	11	55446641	55461239	-1	48.63	Atox1
ENSMUSG00000049674	7	107070981	107077802	1	36.78	Olfr714
ENSMUSG00000085095	7	99660130	99667500	1	53.25	Gm15635
ENSMUSG00000078528	19	16277797	16278776	1	51.94	Gm17068
ENSMUSG00000022507	16	8830100	8858922	1	40.85	1810013L24Rik
ENSMUSG00000108966	19	11864436	11864634	-1	44.22	Gm45119
ENSMUSG00000083276	2	59396488	59396917	1	50.00	Gm13551
ENSMUSG00000083381	7	33604264	33606052	-1	45.16	Scgb2b22-ps
ENSMUSG00000101285	Y	62128751	62131989	1	40.04	Gm28600
ENSMUSG00000110787	10	3212803	3235033	-1	42.71	Gm6667
ENSMUSG00000043716	1	16101295	16104662	-1	45.22	Rpl7
ENSMUSG00000021254	12	86241858	86291784	1	44.48	Gpatch2l
ENSMUSG00000109355	7	18509861	18511630	-1	43.73	Gm4880
ENSMUSG00000080982	2	59398986	59399781	-1	49.75	Gm13549
ENSMUSG00000079892	7	33614622	33615807	1	46.88	Scgb1b22-ps
ENSMUSG00000026705	1	161088375	161131511	-1	40.43	Klhl20
ENSMUSG00000081346	11	20142568	20142790	1	46.64	Gm12030
ENSMUSG00000094558	X	3441731	3443690	-1	38.98	Btbd35f11
ENSMUSG00000111762	9	39284296	39284636	-1	41.06	Olfr946-ps1
ENSMUSG00000091373	17	36066108	36067753	-1	52.31	Gm8810
ENSMUSG00000109391	7	107075261	107075639	-1	40.37	Gm45023
ENSMUSG00000105033	5	107158478	107160571	-1	45.99	Gm43423
ENSMUSG00000085856	11	22438821	22439775	-1	43.87	Gm12050
ENSMUSG00000106643	5	107132118	107135688	-1	42.68	Gm43422
ENSMUSG00000115715	15	36341217	36367117	-1	44.21	Gm33936
ENSMUSG00000094821	Y	62190866	62217137	1	35.55	Gm21518
ENSMUSG00000106671	5	107254338	107256504	-1	45.92	Gm42900
ENSMUSG00000085021	11	22483608	22491363	1	40.16	Gm12051
ENSMUSG00000043892	2	85818479	85824221	1	33.50	Olfr1018
ENSMUSG00000012889	8	84125989	84132527	1	55.12	Podnl1
ENSMUSG00000042558	4	126316047	126321703	-1	54.91	Adprhl2
ENSMUSG00000029287	5	107106570	107289629	-1	45.22	Tgfbr3
ENSMUSG00000079137	1	171305087	171305494	-1	51.72	Rpl27-ps1
ENSMUSG00000053390	17	32993129	33005457	1	42.24	Zfp952
ENSMUSG00000082861	13	28836875	28837724	1	51.65	Gm11362
ENSMUSG00000028822	4	134897849	134915024	-1	48.48	Tmem50a
ENSMUSG00000067545	19	11868613	11875106	-1	42.21	Olfr1419
ENSMUSG00000090487	14	3030002	3038762	1	42.27	Gm2888
ENSMUSG00000049904	11	22512088	22519234	1	43.12	Tmem17
ENSMUSG00000090333	14	42782883	42785217	-1	42.40	Gm3025
ENSMUSG00000115407	15	43808461	43808924	1	45.04	Gm2140
ENSMUSG00000056380	X	71663667	71669257	1	50.17	Gpr50
ENSMUSG00000075208	2	85839621	85845483	-1	36.57	Olfr1019
ENSMUSG00000067679	X	78186777	78192292	1	32.96	Obp1b
ENSMUSG00000071669	16	11322908	11755472	1	46.50	Snx29
ENSMUSG00000026989	2	59484653	59505020	1	42.97	Dapl1
ENSMUSG00000081589	X	3446558	3447426	-1	47.30	Gm14353
ENSMUSG00000103983	1	171320601	171326177	-1	41.72	Gm20045
ENSMUSG00000008601	3	88542029	88548300	-1	50.49	Rab25
ENSMUSG00000112611	10	112141754	112160327	-1	37.72	Glipr1l3
ENSMUSG00000020949	12	65062424	65074007	-1	39.92	Fkbp3
ENSMUSG00000095226	14	42792568	42797987	-1	41.62	Gm10377
ENSMUSG00000041078	14	34820108	35583379	1	43.43	Grid1
ENSMUSG00000034303	9	37275835	37348432	-1	39.60	Ccdc15
ENSMUSG00000110404	4	156130513	156133420	1	55.50	Rnf223
ENSMUSG00000102223	3	81405293	81405572	-1	42.86	Gm37300
ENSMUSG00000103187	3	92242933	92246241	-1	38.95	Gm37087
ENSMUSG00000044317	7	19212538	19224174	1	50.40	Gpr4
ENSMUSG00000091970	5	125847952	125848740	-1	49.94	Gm4868
ENSMUSG00000058017	1	107078167	107083506	-1	35.77	Serpinb3d
ENSMUSG00000068893	3	92215920	92256724	1	39.08	Sprr2a2
ENSMUSG00000085035	11	20145567	20146344	-1	47.04	Gm12031
ENSMUSG00000079101	14	3051653	3052499	-1	45.93	Esd-ps
ENSMUSG00000003346	10	80583654	80590341	-1	57.79	Abhd17a
ENSMUSG00000079410	14	3049285	3076840	1	42.85	Gm2897
ENSMUSG00000079272	14	42825371	42828470	1	42.06	Gm7152
ENSMUSG00000073897	7	107093220	107099808	1	39.11	Olfr17
ENSMUSG00000031786	8	95055103	95078141	1	49.79	Drc7
ENSMUSG00000081952	11	48289984	48290313	-1	51.82	Gm12178
ENSMUSG00000007038	17	34931253	34935953	1	54.14	Neu1
ENSMUSG00000046975	2	85847030	85851794	1	35.17	Olfr1020
ENSMUSG00000086256	11	22617408	22618487	1	52.78	Gm12052
ENSMUSG00000052951	2	33641193	33646354	1	55.99	C130021I20Rik
ENSMUSG00000101376	9	97042562	97042862	-1	39.53	Gm18291
ENSMUSG00000094804	14	42847980	42853477	-1	44.45	Gm21977
ENSMUSG00000070798	7	18519702	18532269	-1	46.35	Psg25
ENSMUSG00000100315	12	52599981	52602322	-1	40.18	1700031P21Rik
ENSMUSG00000101365	9	97047444	97067307	-1	45.58	Gm19325
ENSMUSG00000103286	3	92227469	92228674	-1	51.16	Gm5850
ENSMUSG00000105274	5	125928770	125952630	1	43.74	1700048F04Rik
ENSMUSG00000083008	11	22626375	22626664	-1	41.38	Gm12053
ENSMUSG00000113021	13	12675601	12675957	-1	43.42	Gm48440
ENSMUSG00000114783	14	42866650	42866857	1	56.73	Gm48217
ENSMUSG00000078664	3	92215799	92221911	1	40.44	Sprr2a1
ENSMUSG00000084009	X	38296868	38306028	1	47.21	Rhox7-ps1
ENSMUSG00000090947	14	42976995	42979191	-1	43.79	Gm3102
ENSMUSG00000115278	15	36375049	36376090	1	48.46	Gm34150
ENSMUSG00000113033	12	26431153	26436819	-1	43.46	Gm47799
ENSMUSG00000114981	15	36375343	36390172	-1	43.08	Gm34093
ENSMUSG00000083954	11	48551253	48552524	-1	46.15	Gm12179
ENSMUSG00000054409	15	43864646	43870036	-1	43.31	Tmem74
ENSMUSG00000082754	2	85858928	85864364	1	34.80	Olfr1021-ps1
ENSMUSG00000082167	X	3484012	3486883	1	43.25	Gm14360
ENSMUSG00000110828	9	8476273	8476487	1	52.09	Gm47517
ENSMUSG00000081157	2	59564268	59564684	-1	55.16	Gm13552
ENSMUSG00000103654	3	51370222	51370606	1	46.75	Gm37203
ENSMUSG00000115445	14	31325519	31326006	-1	49.39	
ENSMUSG00000114241	14	20794239	20796560	1	49.74	Gm30108
ENSMUSG00000104291	1	138161820	138167683	-1	37.76	A130071D04Rik
ENSMUSG00000103387	12	83122214	83123155	1	48.51	1700030I03Rik
ENSMUSG00000085979	11	22729897	22732986	-1	44.92	Gm12055
ENSMUSG00000097610	18	44661665	44676271	1	42.86	A930012L18Rik
ENSMUSG00000026785	2	30077684	30091022	1	53.17	Pkn3
ENSMUSG00000100890	12	82932520	82939155	-1	45.92	1700085C21Rik
ENSMUSG00000095492	X	3696491	3697358	1	47.47	Gm14361
ENSMUSG00000029518	5	115631908	115647736	1	53.24	Rab35
ENSMUSG00000082337	X	71727657	71727871	1	51.16	Gm14723
ENSMUSG00000115468	14	31323955	31336076	1	43.60	Gm49217
ENSMUSG00000057761	2	85868594	85869541	1	42.30	Olfr1022
ENSMUSG00000104380	12	83121315	83122116	-1	47.26	4933436F18Rik
ENSMUSG00000074292	8	67352104	67365004	-1	40.66	Gm10660
ENSMUSG00000102044	Y	52607626	52608321	-1	45.11	Gm21249
ENSMUSG00000102544	3	51378024	51386324	1	44.49	Gm5103
ENSMUSG00000103968	9	118402465	118403302	-1	46.90	2610509F24Rik
ENSMUSG00000095057	8	42081460	42083109	-1	45.27	Zfp353-ps
ENSMUSG00000099745	Y	52638196	52638810	-1	45.04	Gm28736
ENSMUSG00000083159	11	48568355	48569015	1	50.23	Gm12180
ENSMUSG00000115277	14	35548132	35549126	-1	38.19	Gm19016
ENSMUSG00000091618	10	3256208	3267771	-1	44.26	H60c
ENSMUSG00000115826	14	35219139	35219438	-1	47.67	Gm49034
ENSMUSG00000026395	1	138062861	138175708	-1	37.96	Ptprc
ENSMUSG00000052214	7	19228334	19256543	1	49.11	Opa3
ENSMUSG00000110280	8	88391121	88392228	1	41.70	Gm45497
ENSMUSG00000049721	11	3983636	3999326	1	49.62	Gal3st1
ENSMUSG00000025588	8	67480921	67492104	1	41.61	Nat1
ENSMUSG00000082933	X	98483790	98483906	1	49.57	Gm14811
ENSMUSG00000083411	X	71803688	71804034	1	43.80	Rpl30-ps10
ENSMUSG00000048264	13	9276528	9668928	1	40.35	Dip2c
ENSMUSG00000097488	12	86290761	86306006	-1	45.49	4732487G21Rik
ENSMUSG00000050538	11	97840780	97844099	1	44.58	B230217C12Rik
ENSMUSG00000094187	7	23606175	23607089	1	43.28	Vmn1r170
ENSMUSG00000036052	4	42949814	42959425	1	54.02	Dnajb5
ENSMUSG00000062987	7	107103748	107110369	-1	38.34	Olfr715b
ENSMUSG00000051617	11	100186781	100193246	-1	49.15	Krt9
ENSMUSG00000112412	12	52607670	52628812	1	41.61	Gm35239
ENSMUSG00000102693	1	3073253	3074322	1	34.21	4933401J01Rik
ENSMUSG00000079893	7	33635164	33635533	1	41.35	Scgb1b23-ps
ENSMUSG00000021219	12	82588292	83162056	1	44.18	Rgs6
ENSMUSG00000000957	14	54431612	54445364	1	53.13	Mmp14
ENSMUSG00000083896	7	33625145	33653281	-1	40.67	Scgb2b23-ps
ENSMUSG00000082250	11	48595279	48595809	1	49.91	Gm12181
ENSMUSG00000085761	4	142017898	142028996	1	46.25	4930455G09Rik
ENSMUSG00000100201	10	80587965	80589790	-1	51.42	Gm29093
ENSMUSG00000084218	5	107241623	107242367	1	45.91	Gm8145
ENSMUSG00000091289	14	3084899	3085385	-1	45.38	Gm17051
ENSMUSG00000025971	1	57406328	57417953	1	40.83	Maip1
ENSMUSG00000042506	11	61151785	61175055	-1	48.33	Usp22
ENSMUSG00000099626	Y	62278251	62278944	-1	43.80	Gm28185
ENSMUSG00000083460	11	48734554	48735561	-1	53.08	Gm12182
ENSMUSG00000027823	3	63976106	64022579	1	38.08	Gmps
ENSMUSG00000094876	X	3700233	3702192	1	38.83	Btbd35f18
ENSMUSG00000081397	X	98513900	98514387	-1	40.57	Gm14815
ENSMUSG00000085803	11	22734038	22737937	1	45.13	Gm12056
ENSMUSG00000099537	Y	28330278	28333513	-1	40.08	Gm28938
ENSMUSG00000001229	17	56186807	56218889	-1	54.16	Dpp9
ENSMUSG00000082454	11	48751867	48753714	-1	43.99	Gm12183
ENSMUSG00000020096	10	61171954	61188841	1	51.46	Tbata
ENSMUSG00000083603	X	98544397	98544882	-1	42.80	Gm14810
ENSMUSG00000068674	16	8922060	8922389	-1	48.79	Gm10247
ENSMUSG00000026643	2	3284212	3328877	1	40.92	Nmt2
ENSMUSG00000104768	3	104409161	104417535	1	45.00	Gm38412
ENSMUSG00000105593	5	125963530	125988428	1	43.75	Gm42952
ENSMUSG00000081244	2	33652389	33652798	-1	49.51	Gm13529
ENSMUSG00000106453	3	104417613	104418327	-1	50.35	Gm9273
ENSMUSG00000085463	2	33716361	33718899	-1	47.42	9430024E24Rik
ENSMUSG00000105659	3	104510099	104511313	-1	37.20	4930509H03Rik
ENSMUSG00000101669	Y	28377377	28378071	1	45.18	Gm28937
ENSMUSG00000104973	3	104499320	104501607	-1	40.30	A530041M06Rik
ENSMUSG00000039483	2	30823097	30830333	-1	55.56	Asb6
ENSMUSG00000099862	Y	28414211	28414825	1	45.04	Gm28936
ENSMUSG00000032913	3	104396418	104511918	-1	43.44	Lrig2
ENSMUSG00000024784	19	6226380	6227768	1	60.19	Gpha2
ENSMUSG00000081265	13	21956708	21958123	-1	48.02	Gm11282
ENSMUSG00000071613	14	3133997	3141609	1	42.87	Gm10340
ENSMUSG00000078917	13	21953053	21953628	-1	46.70	Gm11281
ENSMUSG00000048495	1	57388237	57407101	-1	39.37	Tyw5
ENSMUSG00000106378	5	125958409	125965845	-1	43.08	Gm42945
ENSMUSG00000085393	13	21940374	21945197	-1	40.78	Gm11280
ENSMUSG00000100269	1	43056267	43057134	1	43.78	Gm28782
ENSMUSG00000041878	1	43092588	43093835	1	48.56	8430432A02Rik
ENSMUSG00000039391	7	89866148	89903629	-1	41.62	Ccdc81
ENSMUSG00000115608	14	87637292	87637470	-1	48.04	Gm48922
ENSMUSG00000006720	13	21945094	21960779	1	41.78	Zfp184
ENSMUSG00000070939	1	43047200	43098637	-1	44.96	Tgfbrap1
ENSMUSG00000115452	14	87990229	87991072	-1	47.75	Gm18812
ENSMUSG00000111114	10	3303049	3303381	1	39.34	Gm18703
ENSMUSG00000115527	14	88012269	88098037	-1	37.84	Gm4355
ENSMUSG00000024293	18	10566602	10610352	-1	38.31	Esco1
ENSMUSG00000034730	15	74516195	74589465	1	55.55	Adgrb1
ENSMUSG00000050199	2	109917647	110014257	1	41.11	Lgr4
ENSMUSG00000095716	X	3750934	3752885	-1	38.83	Btbd35f10
ENSMUSG00000039768	4	151933691	151982137	1	49.93	Dnajc11
ENSMUSG00000028619	4	107134155	107179116	-1	46.20	Tceanc2
ENSMUSG00000103889	1	25608250	25611184	-1	35.54	Gm37011
ENSMUSG00000102407	1	25325866	25328398	-1	38.81	Gm37862
ENSMUSG00000090684	14	3149604	3150084	-1	45.32	Gm17221
ENSMUSG00000102747	1	25804097	25807406	-1	31.09	Gm37602
ENSMUSG00000060503	7	107125267	107131083	-1	38.01	Olfr715
ENSMUSG00000105613	5	122779525	122786097	1	46.51	Gm43684
ENSMUSG00000024777	19	6227765	6235872	-1	55.91	Ppp2r5b
ENSMUSG00000038822	10	45577829	45712345	1	39.13	Hace1
ENSMUSG00000095259	X	3755775	3756642	-1	47.47	Gm14357
ENSMUSG00000103004	1	25824390	25824719	-1	43.33	2900002M20Rik
ENSMUSG00000043987	9	45766946	45828691	-1	50.69	Cep164
ENSMUSG00000062611	14	88123017	88123808	-1	47.60	Rps3a2
ENSMUSG00000102386	1	25808956	25809972	-1	37.86	2900022M07Rik
ENSMUSG00000035597	12	65036333	65063386	1	36.89	Prpf39
ENSMUSG00000110209	7	107113388	107127822	1	39.85	Gm45868
ENSMUSG00000040584	5	8660077	8748575	1	39.91	Abcb1a
ENSMUSG00000103209	1	25296512	25299886	-1	36.50	Gm37331
ENSMUSG00000105382	5	124278307	124279912	-1	41.78	Gm43339
ENSMUSG00000098650	11	22834744	22982090	-1	43.62	Gm28048
ENSMUSG00000059159	6	52346730	52346942	-1	48.83	Gm8129
